Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
18,18,190,01-Dec-2023 13:09:20,55.0626885,14.5476206666667,16,7.63070656568455,1.0488543211968,0.403722235836813,0.236396320366009,0.198893448866207
18,18,590,06-Dec-2023 12:39:28,55.0604481666667,14.5466781666667,31.6,9.15611421420803,NaN,0.330087114396284,0.201423443769633,0.175046239082832
19,19,190,06-Dec-2023 13:05:53,55.0604481666667,14.5466781666667,31.2,7.38945379711826,NaN,0.359252204171869,NaN,NaN
19,19,590,11-Dec-2023 12:37:03,55.0616936666667,14.5477595,30.4,8.93848930922402,0.985368573156821,0.331231970649531,0.189314272642346,0.163585452993441
20,20,190,11-Dec-2023 13:01:47,55.0616936666667,14.5477595,30.6,7.35993364390287,0.941159008433061,0.349963269150079,0.207046494830087,0.18187996145217
20,20,590,16-Dec-2023 12:36:28,55.0618188333333,14.5597771666667,17.2,8.79584408015519,NaN,0.357803367620804,0.202308655790328,0.174406605000743
21,21,190,16-Dec-2023 13:00:16,55.0618188333333,14.5597771666667,16.6,7.32428384937506,1.13880591316207,NaN,NaN,NaN
21,21,590,21-Dec-2023 12:47:52,55.0656108333333,14.5817161666667,18.8,8.15111389312755,NaN,0.444192321714957,0.305096120795625,0.279335075190941
22,22,190,21-Dec-2023 13:19:39,55.0656108333333,14.5817161666667,20.2,5.98356479819768,NaN,NaN,NaN,NaN
22,22,590,26-Dec-2023 12:42:57,55.06612,14.5923693333333,20,8.65186298510735,NaN,0.336320493703861,0.180960978031049,0.165455788249476
23,23,190,26-Dec-2023 13:12:44,55.06612,14.5923693333333,18.6,6.74281810863483,NaN,0.348563407859313,0.24790357076171,0.230164490561976
23,23,590,31-Dec-2023 12:42:44,55.066024,14.586549,14.2,9.06418547770913,0.983930772951458,0.345690078774664,0.197032406633661,0.17691848053816
24,24,190,31-Dec-2023 13:07:53,55.066024,14.586549,21.4,7.51117020039159,NaN,0.400628128273026,0.215922674447302,0.191115893702889
24,24,590,05-Jan-2024 14:04:05,55.187637,14.6436316666667,22.4,3.49004323515992,1.38222796578295,0.627990246493505,0.377627356482568,0.296417574296757
25,25,190,05-Jan-2024 14:33:44,55.187637,14.6436316666667,NaN,0.585571740532284,NaN,NaN,NaN,NaN
25,25,590,05-Jan-2024 20:02:21,55.1645746666667,14.6203988333333,NaN,-42.9182829756794,NaN,NaN,NaN,NaN
26,26,190,05-Jan-2024 20:29:34,55.1645746666667,14.6203988333333,28.4,-46.3322780947616,NaN,NaN,NaN,NaN
26,26,590,07-Jan-2024 04:41:42,55.1771396666667,14.6279051666667,13.2,-21.8627715703022,NaN,NaN,NaN,NaN
27,27,190,07-Jan-2024 05:07:56,55.1771396666667,14.6279051666667,23,-18.1868624343619,NaN,NaN,NaN,NaN
27,27,590,07-Jan-2024 10:38:33,55.1593141666667,14.6419731666667,NaN,12.1881562425341,NaN,NaN,NaN,NaN
28,28,190,07-Jan-2024 11:03:13,55.1593141666667,14.6419731666667,NaN,12.4309346268223,NaN,NaN,NaN,NaN
28,28,590,07-Jan-2024 16:32:02,55.1253275,14.6106855,NaN,-13.3205694479418,NaN,NaN,NaN,NaN
29,29,190,07-Jan-2024 16:58:46,55.1253275,14.6106855,12,-16.9590830254214,NaN,NaN,NaN,NaN
29,29,590,07-Jan-2024 18:26:51,55.1142035,14.5964176666667,11.8,-29.4059393542717,NaN,NaN,NaN,NaN
30,30,190,07-Jan-2024 18:52:16,55.1142035,14.5964176666667,13.6,-33.0217643555446,NaN,NaN,NaN,NaN
30,30,590,07-Jan-2024 20:21:33,55.1040831666667,14.5767831666667,12.4,-45.0489556215378,NaN,NaN,NaN,NaN
31,31,190,07-Jan-2024 20:48:59,55.1040831666667,14.5767831666667,13,-48.31158438417,NaN,NaN,NaN,NaN
31,31,590,07-Jan-2024 22:17:56,55.0949471666667,14.550048,13.2,-55.9393830123226,NaN,NaN,NaN,NaN
32,32,190,07-Jan-2024 22:46:22,55.0949471666667,14.550048,13,-56.9976315299921,NaN,NaN,NaN,NaN
32,32,590,08-Jan-2024 00:14:03,55.0880743333333,14.516707,13,-55.0158140753098,NaN,NaN,NaN,NaN
33,33,190,08-Jan-2024 00:41:34,55.0880743333333,14.516707,13.4,-52.9070225800395,NaN,NaN,NaN,NaN
33,33,590,08-Jan-2024 02:11:56,55.0835733333333,14.4818613333333,14.2,-42.8434854493581,NaN,NaN,NaN,NaN
34,34,190,08-Jan-2024 02:37:58,55.0835733333333,14.4818613333333,14.8,-39.3865964138032,NaN,NaN,NaN,NaN
34,34,590,08-Jan-2024 04:05:05,55.081281,14.4477401666667,15.6,-27.1365923672718,NaN,NaN,NaN,NaN
